date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:36	272/272	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:25%20GMT	http://www.amu.ac.in/miscellaneous/internal-complaints-committee	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/internal-complaints-committee	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:37	274/274	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:26%20GMT	http://www.amu.ac.in/miscellaneous/internal-quality-assurance-cell	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/internal-quality-assurance-cell	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:38	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:27%20GMT	http://www.amu.ac.in/miscellaneous/innovation-council	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/innovation-council	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:39	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:28%20GMT	http://www.amu.ac.in/miscellaneous/musa-dakri-museum	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/musa-dakri-museum	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:40	268/268	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:29%20GMT	http://www.amu.ac.in/miscellaneous/the-oso-amu-pilot-project	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/the-oso-amu-pilot-project	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:41	263/263	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:30%20GMT	http://www.amu.ac.in/miscellaneous/transparency-officer	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/transparency-officer	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:42	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:31%20GMT	http://www.amu.ac.in/miscellaneous/tahzeeb-ul-akhlaq	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/tahzeeb-ul-akhlaq	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:43	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:32%20GMT	http://www.amu.ac.in/miscellaneous/yusuff-ali-aquatics-sports-complex	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/yusuff-ali-aquatics-sports-complex	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:44	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:33%20GMT	http://www.amu.ac.in/miscellaneous/aligs-academic-enrichment-programme	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/aligs-academic-enrichment-programme	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:45	273/273	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:34%20GMT	http://www.amu.ac.in/miscellaneous/institutional-ethics-committee	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/institutional-ethics-committee	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:46	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:35%20GMT	http://www.amu.ac.in/miscellaneous/institutional-biosafety-committee	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/institutional-biosafety-committee	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:47	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:36%20GMT	http://www.amu.ac.in/miscellaneous/national-education-policy-nep-cell	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/national-education-policy-nep-cell	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:48	272/272	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:37%20GMT	http://www.amu.ac.in/miscellaneous/research-and-development-cell	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/research-and-development-cell	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:49	290/290	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:38%20GMT	http://www.amu.ac.in/miscellaneous/office-of-the-estate-officer-gazetted/home-page	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/office-of-the-estate-officer-gazetted/home-page	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:50	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Nov%202022%2009:02:39%20GMT	http://www.amu.ac.in/miscellaneous/court-election-amu	/storage/emulated/0/HTTrack/Websites/ammia/www.amu.ac.in/miscellaneous/court-election-amu	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:51	6865/6865	---M--	200	added ('OK')	image/png	etag:%221ad1-5ab06e246d680%22	https://api.amu.ac.in/storage//images/editor/1595420938_logo01.png	/storage/emulated/0/HTTrack/Websites/ammia/api.amu.ac.in/storage/images/editor/1595420938_logo01.png	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:52	3823/3823	---M--	200	added ('OK')	image/png	etag:%22eef-5ab06e3780380%22	https://api.amu.ac.in/storage//images/editor/1595420958_logo02.png	/storage/emulated/0/HTTrack/Websites/ammia/api.amu.ac.in/storage/images/editor/1595420958_logo02.png	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:53	4729/4729	---M--	200	added ('OK')	image/png	etag:%221279-5ab06e44da300%22	https://api.amu.ac.in/storage//images/editor/1595420972_logo03.png	/storage/emulated/0/HTTrack/Websites/ammia/api.amu.ac.in/storage/images/editor/1595420972_logo03.png	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:54	5173/5173	---M--	200	added ('OK')	image/png	etag:%221435-5ab06e5604b80%22	https://api.amu.ac.in/storage//images/editor/1595420990_logo04.png	/storage/emulated/0/HTTrack/Websites/ammia/api.amu.ac.in/storage/images/editor/1595420990_logo04.png	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:55	5756/5756	---M--	200	added ('OK')	image/png	etag:%22167c-5ab06e6452d40%22	https://api.amu.ac.in/storage//images/editor/1595421004_logo05.png	/storage/emulated/0/HTTrack/Websites/ammia/api.amu.ac.in/storage/images/editor/1595421004_logo05.png	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:56	5199/5199	---M--	200	added ('OK')	image/png	etag:%22144f-5ab06e6ed0600%22	https://api.amu.ac.in/storage//images/editor/1595421017_logo06.png	/storage/emulated/0/HTTrack/Websites/ammia/api.amu.ac.in/storage/images/editor/1595421017_logo06.png	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:57	7974/7974	---M--	200	added ('OK')	image/png	etag:%221f26-5ab06e7f06c40%22	https://api.amu.ac.in/storage//images/editor/1595421033_logo07.png	/storage/emulated/0/HTTrack/Websites/ammia/api.amu.ac.in/storage/images/editor/1595421033_logo07.png	(from https://www.amu.ac.in/miscellaneous/alumni)
14:43:58	2966/2966	---M--	200	added ('OK')	image/png	etag:%22b96-5ab06e90314c0%22	https://api.amu.ac.in/storage//images/editor/1595421051_logo08.png	/storage/emulated/0/HTTrack/Websites/ammia/api.amu.ac.in/storage/images/editor/1595421051_logo08.png	(from https://www.amu.ac.in/miscellaneous/alumni)
